,sms,label,Bart,Selectra,Deberta
0,"sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p 
",1,spam,,ham(non-spam)
1,"It's justbeen overa week since we broke up and already our brains are going to mush!
",0,spam,,ham(non-spam)
2,"Not directly behind... Abt 4 rows behind ü...
",0,spam,,ham(non-spam)
3,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?
",0,spam,,ham(non-spam)
4,"Me too baby! I promise to treat you well! I bet you will take good care of me...
",0,spam,,ham(non-spam)
5,"Enjoy ur life. . Good night
",0,spam,,ham(non-spam)
6,"Sday only joined.so training we started today:)
",0,spam,,ham(non-spam)
7,"Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
",0,spam,,spam
8,"Hey whats up? U sleeping all morning?
",0,spam,,ham(non-spam)
9,"Have your lunch and come quickly and open the door:)
",0,spam,,ham(non-spam)
10,"Cramps stopped. Going back to sleep
",0,spam,,ham(non-spam)
11,"MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
",0,spam,,ham(non-spam)
12,"""GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI""
",0,spam,,ham(non-spam)
13,"Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
",1,spam,,ham(non-spam)
14,"I asked sen to come chennai and search for job.
",0,spam,,ham(non-spam)
15,"That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
",0,spam,,ham(non-spam)
16,"we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery
",1,spam,,spam
17,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL
",0,spam,,ham(non-spam)
18,"You always make things bigger than they are
",0,spam,,ham(non-spam)
19,"Hhahhaahahah rofl wtf nig was leonardo in your room or something
",0,spam,,spam
20,"Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. 
",0,spam,,ham(non-spam)
21,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'
",1,spam,,spam
22,"S...i will take mokka players only:)
",0,spam,,ham(non-spam)
23,"Shall i come to get pickle
",0,spam,,ham(non-spam)
24,"Really dun bluff me leh... U sleep early too. Nite...
",0,spam,,spam
25,"Y cant u try new invention to fly..i'm not joking.,
",0,spam,,ham(non-spam)
26,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.
",0,spam,,ham(non-spam)
27,"U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
",1,spam,,ham(non-spam)
28,"You got job in wipro:)you will get every thing in life in 2 or 3 years.
",0,spam,,ham(non-spam)
29,"Ok. So april. Cant wait
",0,spam,,ham(non-spam)
30,"In meeting da. I will call you
",0,spam,,ham(non-spam)
31,"Neva mind it's ok..
",0,spam,,ham(non-spam)
32,"PICK UR FONE UP NOW U DUMB?
",0,spam,,ham(non-spam)
33,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that! 
",0,spam,,ham(non-spam)
34,"Ok thanx...
",0,spam,,ham(non-spam)
35,"7 at esplanade.. Do ü mind giving me a lift cos i got no car today..
",0,spam,,spam
36,"Yes... I trust u to buy new stuff ASAP so I can try it out
",0,spam,,ham(non-spam)
37,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?
",0,spam,,spam
38,"Hey i've booked the pilates and yoga lesson already... Haha
",0,spam,,ham(non-spam)
39,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?
",0,spam,,spam
40,"Captain is in our room:)
",0,spam,,ham(non-spam)
41,"Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
",0,spam,,ham(non-spam)
42,"Why didn't u call on your lunch?
",0,spam,,ham(non-spam)
43,"Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
",1,spam,,ham(non-spam)
44,"Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
",0,spam,,ham(non-spam)
45,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon....
",0,spam,,ham(non-spam)
46,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...
",0,spam,,ham(non-spam)
47,"Dear umma she called me now :-)
",0,spam,,ham(non-spam)
48,"Ya even those cookies have jelly on them
",0,spam,,ham(non-spam)
49,"Haha yeah I see that now, be there in a sec
",0,spam,,ham(non-spam)
50,"Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
",1,spam,,ham(non-spam)
51,"Be happy there. I will come after noon
",0,spam,,ham(non-spam)
